,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
2429,north west,no,basic,bachelor,2/26/11,feb,unemployed,m,suburban,married,corporate auto,corporate l3,offer1,branch,two-door car,medsize
2430,north west,no,basic,high school or below,2/27/11,feb,employed,f,suburban,divorced,personal auto,personal l3,offer1,branch,four-door car,medsize
2431,north west,no,extended,bachelor,2/6/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer1,agent,four-door car,medsize
2432,west region,no,basic,bachelor,2/9/11,feb,medical leave,f,suburban,married,personal auto,personal l3,offer4,branch,four-door car,medsize
2433,west region,no,basic,bachelor,1/12/11,jan,employed,m,urban,married,personal auto,personal l2,offer1,branch,suv,medsize
2434,west region,no,basic,high school or below,2/6/11,feb,employed,f,rural,married,corporate auto,corporate l2,offer1,agent,luxury car,medsize
2435,west region,no,premium,bachelor,2/7/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,call center,suv,medsize
2436,north west,no,basic,college,2/15/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer3,web,suv,medsize
2437,central,no,premium,bachelor,2/5/11,feb,employed,m,urban,married,personal auto,personal l1,offer1,call center,suv,large
2438,central,no,basic,master,1/7/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer2,web,four-door car,medsize
2439,central,yes,basic,high school or below,1/2/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,call center,four-door car,small
2440,west region,no,basic,college,2/10/11,feb,employed,f,suburban,single,personal auto,personal l1,offer2,web,four-door car,medsize
2441,north west,no,basic,high school or below,1/24/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,agent,four-door car,small
2442,north west,yes,basic,high school or below,2/4/11,feb,retired,m,suburban,married,personal auto,personal l3,offer1,web,sports car,medsize
2443,central,no,extended,master,2/4/11,feb,employed,f,urban,married,personal auto,personal l3,offer2,web,four-door car,large
2444,central,no,extended,high school or below,1/3/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,web,suv,medsize
2445,east,no,premium,high school or below,1/18/11,jan,employed,m,urban,married,corporate auto,corporate l3,offer1,call center,four-door car,medsize
2446,central,no,basic,college,2/24/11,feb,employed,f,rural,single,personal auto,personal l3,offer4,branch,two-door car,medsize
2447,central,no,basic,bachelor,2/26/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer3,branch,suv,medsize
2448,west region,yes,extended,college,1/27/11,jan,employed,f,suburban,married,corporate auto,corporate l2,offer3,branch,four-door car,medsize
2449,north west,no,premium,high school or below,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer4,agent,suv,medsize
2450,north west,no,extended,high school or below,1/10/11,jan,employed,m,suburban,married,corporate auto,corporate l2,offer4,branch,four-door car,medsize
2451,central,no,basic,college,2/18/11,feb,medical leave,m,suburban,married,special auto,special l2,offer3,call center,suv,small
2452,central,no,extended,high school or below,2/3/11,feb,employed,f,suburban,married,special auto,special l3,offer2,call center,four-door car,medsize
2453,north west,no,basic,doctor,2/2/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,branch,suv,small
2454,north west,no,premium,high school or below,2/20/11,feb,employed,f,urban,single,corporate auto,corporate l3,offer2,agent,four-door car,medsize
2455,north west,no,basic,high school or below,2/23/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,branch,four-door car,medsize
2456,north west,no,premium,bachelor,2/13/11,feb,employed,f,suburban,single,personal auto,personal l2,offer1,agent,two-door car,medsize
2457,central,no,basic,college,2/13/11,feb,employed,f,suburban,married,personal auto,personal l1,offer1,branch,two-door car,medsize
2458,north west,no,basic,bachelor,1/14/11,jan,employed,m,rural,married,personal auto,personal l1,offer3,branch,suv,medsize
2459,north west,no,basic,college,1/25/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer2,agent,four-door car,medsize
2460,west region,no,basic,college,1/6/11,jan,employed,f,rural,single,personal auto,personal l1,offer1,agent,four-door car,small
2461,west region,no,basic,high school or below,2/20/11,feb,employed,m,suburban,married,corporate auto,corporate l1,offer4,agent,suv,medsize
2462,north west,no,extended,bachelor,2/20/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer2,call center,four-door car,small
2463,north west,no,basic,bachelor,1/18/11,jan,employed,f,suburban,married,personal auto,personal l2,offer4,branch,four-door car,small
2464,west region,no,extended,master,1/28/11,jan,employed,f,urban,married,corporate auto,corporate l2,offer3,agent,four-door car,medsize
2465,north west,no,basic,college,1/13/11,jan,unemployed,m,suburban,married,personal auto,personal l1,offer3,call center,four-door car,medsize
2466,north west,yes,basic,high school or below,1/29/11,jan,employed,f,urban,married,personal auto,personal l1,offer1,agent,four-door car,small
2467,north west,no,extended,college,1/25/11,jan,employed,m,urban,married,personal auto,personal l2,offer1,web,sports car,medsize
2468,west region,no,basic,bachelor,1/13/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer3,call center,two-door car,medsize
2469,east,no,basic,high school or below,1/14/11,jan,employed,f,rural,married,personal auto,personal l2,offer1,agent,suv,medsize
2470,north west,no,basic,bachelor,2/22/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer2,agent,suv,medsize
2471,north west,yes,basic,high school or below,1/14/11,jan,employed,f,suburban,married,personal auto,personal l2,offer2,agent,sports car,medsize
2472,west region,no,basic,high school or below,2/26/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer1,branch,four-door car,large
2473,east,no,premium,college,2/2/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
2474,north west,no,basic,college,2/25/11,feb,employed,m,rural,married,personal auto,personal l3,offer2,branch,suv,medsize
2475,north west,no,basic,bachelor,2/7/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer2,call center,four-door car,small
2476,north west,no,basic,master,2/10/11,feb,disabled,m,rural,married,special auto,special l3,offer1,web,two-door car,medsize
2477,north west,no,basic,bachelor,1/28/11,jan,employed,f,rural,married,corporate auto,corporate l1,offer2,agent,two-door car,medsize
2478,west region,no,extended,high school or below,1/23/11,jan,employed,m,rural,single,personal auto,personal l2,offer1,call center,sports car,medsize
2479,north west,no,basic,high school or below,1/11/11,jan,employed,f,urban,divorced,personal auto,personal l2,offer1,agent,two-door car,medsize
2480,north west,no,basic,bachelor,1/10/11,jan,employed,m,rural,single,personal auto,personal l1,offer2,branch,two-door car,medsize
2481,central,no,extended,doctor,2/3/11,feb,disabled,f,suburban,married,special auto,special l1,offer1,branch,suv,small
2482,north west,no,basic,bachelor,1/2/11,jan,employed,m,urban,divorced,personal auto,personal l3,offer3,call center,two-door car,medsize
2483,west region,no,premium,college,1/21/11,jan,employed,m,suburban,single,personal auto,personal l1,offer1,agent,four-door car,medsize
2484,east,yes,extended,high school or below,2/13/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer2,agent,two-door car,medsize
2485,central,no,basic,high school or below,2/23/11,feb,unemployed,m,suburban,divorced,personal auto,personal l3,offer1,call center,four-door car,medsize
2486,west region,yes,basic,bachelor,1/26/11,jan,employed,m,suburban,married,personal auto,personal l1,offer2,call center,two-door car,medsize
2487,central,no,premium,college,2/4/11,feb,employed,m,suburban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2488,west region,no,basic,bachelor,1/20/11,jan,employed,f,urban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
2489,north west,no,basic,bachelor,1/14/11,jan,employed,m,urban,divorced,personal auto,personal l2,offer1,agent,suv,small
2490,east,yes,basic,high school or below,1/10/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2491,east,no,premium,bachelor,1/18/11,jan,employed,f,rural,single,personal auto,personal l2,offer3,agent,two-door car,small
2492,central,no,basic,bachelor,1/12/11,jan,employed,m,suburban,married,corporate auto,corporate l3,offer4,branch,suv,medsize
2493,west region,no,basic,bachelor,1/25/11,jan,employed,m,suburban,married,personal auto,personal l1,offer2,call center,suv,small
2494,central,no,basic,high school or below,1/13/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,luxury suv,medsize
2495,north west,yes,basic,high school or below,2/25/11,feb,retired,f,suburban,single,corporate auto,corporate l3,offer1,agent,suv,medsize
2496,east,no,basic,high school or below,1/22/11,jan,medical leave,m,suburban,single,special auto,special l3,offer1,web,suv,small
2497,west region,yes,basic,college,1/23/11,jan,retired,m,suburban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2498,west region,yes,premium,college,2/16/11,feb,employed,m,suburban,married,personal auto,personal l1,offer2,branch,four-door car,medsize
2499,central,no,extended,bachelor,2/2/11,feb,employed,m,suburban,married,personal auto,personal l3,offer2,web,two-door car,medsize
2500,east,no,basic,college,2/12/11,feb,unemployed,f,urban,married,personal auto,personal l3,offer3,call center,suv,medsize
2501,west region,no,extended,high school or below,1/27/11,jan,employed,m,rural,married,personal auto,personal l2,offer3,branch,two-door car,medsize
2502,central,no,premium,high school or below,2/26/11,feb,medical leave,f,suburban,divorced,personal auto,personal l1,offer3,web,four-door car,medsize
2503,west region,yes,basic,college,2/15/11,feb,employed,m,suburban,single,personal auto,personal l2,offer2,call center,four-door car,small
2504,central,no,basic,bachelor,2/9/11,feb,employed,m,urban,married,personal auto,personal l3,offer3,agent,luxury suv,medsize
2505,north west,no,extended,bachelor,2/1/11,feb,employed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,large
2506,central,no,extended,high school or below,2/18/11,feb,disabled,m,suburban,married,personal auto,personal l2,offer2,call center,four-door car,large
2507,north west,no,premium,high school or below,2/22/11,feb,employed,m,suburban,married,corporate auto,corporate l1,offer1,branch,four-door car,medsize
2508,west region,no,basic,college,1/9/11,jan,disabled,m,suburban,married,corporate auto,corporate l3,offer3,branch,four-door car,small
2509,north west,yes,basic,college,2/10/11,feb,employed,f,rural,married,personal auto,personal l2,offer2,branch,suv,large
2510,north west,no,basic,high school or below,1/17/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer1,branch,two-door car,small
2511,north west,no,premium,college,2/14/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer1,branch,four-door car,small
2512,central,no,extended,high school or below,2/27/11,feb,employed,m,urban,married,personal auto,personal l2,offer1,agent,two-door car,medsize
2513,north west,no,basic,doctor,1/21/11,jan,employed,f,urban,married,personal auto,personal l3,offer2,call center,two-door car,medsize
2514,east,no,basic,bachelor,1/6/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer3,agent,four-door car,medsize
2515,central,yes,extended,bachelor,1/19/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer2,agent,four-door car,small
2516,north west,yes,extended,college,1/5/11,jan,employed,m,urban,divorced,special auto,special l3,offer2,call center,four-door car,medsize
2517,central,yes,basic,college,1/27/11,jan,retired,f,suburban,divorced,personal auto,personal l2,offer1,agent,suv,small
2518,west region,no,basic,college,2/14/11,feb,employed,m,rural,married,personal auto,personal l2,offer3,branch,sports car,medsize
2519,west region,no,extended,high school or below,2/21/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,call center,four-door car,small
2520,north west,no,basic,high school or below,2/24/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
2521,west region,no,basic,master,2/7/11,feb,employed,m,suburban,married,personal auto,personal l1,offer2,web,four-door car,medsize
2522,central,no,basic,college,2/28/11,feb,unemployed,m,suburban,divorced,personal auto,personal l3,offer1,agent,two-door car,medsize
2523,west region,no,extended,high school or below,1/7/11,jan,employed,f,suburban,married,personal auto,personal l2,offer3,branch,four-door car,medsize
2524,central,no,basic,bachelor,2/3/11,feb,medical leave,m,rural,married,personal auto,personal l3,offer2,agent,four-door car,medsize
2525,west region,no,extended,master,2/16/11,feb,employed,f,urban,single,corporate auto,corporate l3,offer2,branch,two-door car,medsize
2526,west region,no,basic,bachelor,2/23/11,feb,medical leave,m,suburban,married,personal auto,personal l2,offer3,branch,two-door car,medsize
2527,west region,no,basic,bachelor,2/27/11,feb,employed,m,rural,single,personal auto,personal l3,offer2,branch,luxury car,small
2528,east,no,basic,high school or below,2/2/11,feb,employed,m,suburban,married,personal auto,personal l3,offer3,agent,suv,medsize
2529,west region,no,basic,bachelor,2/11/11,feb,employed,f,rural,married,corporate auto,corporate l1,offer4,call center,suv,medsize
2530,east,no,basic,college,1/18/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,agent,suv,medsize
2531,west region,no,basic,bachelor,2/16/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
2532,east,no,extended,college,1/17/11,jan,employed,f,urban,married,personal auto,personal l1,offer2,web,suv,medsize
2533,west region,no,basic,high school or below,1/30/11,jan,employed,f,urban,married,personal auto,personal l1,offer2,agent,four-door car,medsize
2534,central,no,extended,doctor,1/11/11,jan,employed,f,urban,married,personal auto,personal l3,offer1,agent,suv,medsize
2535,west region,no,basic,bachelor,2/18/11,feb,employed,f,rural,married,personal auto,personal l3,offer2,web,four-door car,medsize
2536,east,yes,premium,bachelor,2/11/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer1,branch,four-door car,medsize
2537,north west,no,basic,bachelor,1/23/11,jan,medical leave,m,suburban,married,personal auto,personal l1,offer3,agent,suv,medsize
2538,west region,no,basic,bachelor,2/14/11,feb,medical leave,f,suburban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2539,north west,no,premium,college,1/25/11,jan,disabled,m,suburban,married,corporate auto,corporate l2,offer1,branch,two-door car,small
2540,central,no,basic,high school or below,1/31/11,jan,employed,f,rural,single,corporate auto,corporate l3,offer3,branch,four-door car,medsize
2541,central,no,basic,college,1/20/11,jan,unemployed,m,suburban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2542,central,no,basic,bachelor,1/13/11,jan,employed,m,urban,married,personal auto,personal l1,offer2,call center,suv,small
2543,central,no,basic,master,1/11/11,jan,employed,m,rural,married,personal auto,personal l3,offer3,call center,four-door car,medsize
2544,central,no,basic,high school or below,1/12/11,jan,disabled,f,rural,married,personal auto,personal l2,offer3,call center,suv,medsize
2545,west region,no,basic,bachelor,2/27/11,feb,employed,f,urban,married,corporate auto,corporate l1,offer2,call center,four-door car,medsize
2546,north west,no,basic,high school or below,1/30/11,jan,disabled,m,suburban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2547,north west,no,basic,high school or below,2/15/11,feb,employed,m,suburban,single,corporate auto,corporate l3,offer4,agent,four-door car,small
2548,north west,no,basic,college,2/11/11,feb,employed,m,suburban,married,personal auto,personal l3,offer2,call center,two-door car,medsize
2549,east,yes,basic,bachelor,1/30/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer1,web,two-door car,medsize
2550,north west,no,basic,doctor,1/28/11,jan,employed,f,urban,married,personal auto,personal l3,offer1,branch,sports car,medsize
2551,north west,no,basic,college,2/23/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
2552,central,no,basic,bachelor,1/23/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,branch,luxury car,medsize
2553,west region,no,extended,bachelor,1/17/11,jan,employed,m,suburban,single,personal auto,personal l1,offer4,web,luxury car,medsize
2554,central,no,basic,bachelor,1/20/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,web,four-door car,medsize
2555,east,no,premium,doctor,2/22/11,feb,employed,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,small
2556,north west,no,basic,bachelor,1/9/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer3,agent,four-door car,medsize
2557,north west,no,basic,master,1/2/11,jan,employed,m,urban,married,personal auto,personal l3,offer1,web,four-door car,medsize
2558,east,no,extended,bachelor,2/16/11,feb,employed,f,suburban,married,personal auto,personal l2,offer3,call center,four-door car,small
2559,west region,no,basic,college,1/25/11,jan,medical leave,m,rural,single,personal auto,personal l2,offer2,call center,four-door car,large
2560,north west,no,extended,high school or below,1/31/11,jan,employed,m,urban,married,personal auto,personal l3,offer2,web,suv,medsize
2561,east,no,basic,college,2/11/11,feb,employed,f,rural,single,personal auto,personal l2,offer3,web,four-door car,large
2562,west region,yes,basic,college,2/22/11,feb,unemployed,f,suburban,divorced,corporate auto,corporate l3,offer1,branch,four-door car,small
2563,central,no,premium,college,1/2/11,jan,employed,m,suburban,divorced,corporate auto,corporate l2,offer1,branch,four-door car,medsize
2564,west region,no,basic,high school or below,2/24/11,feb,employed,m,suburban,single,personal auto,personal l2,offer1,branch,suv,medsize
2565,north west,no,extended,college,1/11/11,jan,employed,f,suburban,single,personal auto,personal l2,offer2,call center,sports car,medsize
2566,west region,no,basic,high school or below,2/7/11,feb,employed,f,suburban,married,personal auto,personal l2,offer4,call center,four-door car,small
2567,west region,no,basic,bachelor,2/5/11,feb,disabled,f,suburban,married,personal auto,personal l3,offer1,branch,luxury car,medsize
2568,north west,no,extended,high school or below,2/7/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer3,agent,four-door car,medsize
2569,west region,no,extended,bachelor,1/3/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,call center,suv,medsize
2570,central,no,premium,bachelor,2/10/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,two-door car,medsize
2571,north west,no,extended,college,1/14/11,jan,employed,f,urban,single,special auto,special l2,offer1,agent,four-door car,medsize
2572,west region,yes,basic,master,1/19/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,web,two-door car,small
2573,north west,no,extended,college,2/4/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,two-door car,medsize
2574,central,no,basic,college,2/15/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer3,agent,suv,small
2575,north west,no,basic,bachelor,2/27/11,feb,unemployed,m,suburban,single,corporate auto,corporate l1,offer1,call center,four-door car,medsize
2576,central,yes,basic,high school or below,2/23/11,feb,disabled,f,suburban,married,corporate auto,corporate l3,offer2,agent,suv,small
2577,central,no,basic,doctor,2/15/11,feb,employed,m,suburban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2578,central,no,premium,college,1/24/11,jan,employed,f,suburban,single,personal auto,personal l2,offer2,agent,four-door car,medsize
2579,north west,no,extended,high school or below,2/27/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer1,agent,suv,medsize
2580,north west,no,extended,college,2/12/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer4,agent,suv,medsize
2581,west region,no,basic,master,1/9/11,jan,employed,m,rural,married,personal auto,personal l3,offer1,web,sports car,medsize
2582,central,no,basic,high school or below,1/9/11,jan,employed,m,urban,single,corporate auto,corporate l3,offer2,branch,two-door car,medsize
2583,west region,no,basic,high school or below,2/2/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,agent,suv,medsize
2584,central,no,basic,doctor,1/19/11,jan,employed,f,urban,divorced,corporate auto,corporate l3,offer2,call center,four-door car,medsize
2585,east,no,basic,college,2/2/11,feb,unemployed,m,suburban,single,corporate auto,corporate l1,offer1,agent,two-door car,small
2586,north west,no,basic,college,1/13/11,jan,disabled,m,suburban,single,personal auto,personal l3,offer1,agent,two-door car,medsize
2587,central,no,basic,bachelor,1/26/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,branch,two-door car,medsize
2588,east,no,basic,high school or below,1/11/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,call center,four-door car,small
2589,west region,no,extended,college,2/25/11,feb,employed,m,rural,married,personal auto,personal l3,offer2,branch,four-door car,medsize
2590,north west,no,premium,high school or below,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer2,branch,four-door car,medsize
2591,central,no,basic,college,1/30/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer3,agent,four-door car,medsize
2592,central,no,premium,bachelor,2/6/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,call center,four-door car,medsize
2593,west region,no,premium,bachelor,2/16/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,suv,medsize
2594,central,yes,basic,high school or below,2/26/11,feb,employed,m,suburban,single,personal auto,personal l2,offer2,call center,four-door car,medsize
2595,west region,no,extended,college,2/24/11,feb,employed,m,suburban,married,personal auto,personal l2,offer3,web,two-door car,medsize
2596,north west,no,basic,bachelor,2/20/11,feb,employed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
2597,north west,no,extended,bachelor,1/30/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer2,web,suv,medsize
2598,west region,no,extended,high school or below,1/2/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,branch,two-door car,medsize
2599,central,no,extended,high school or below,1/1/11,jan,employed,m,rural,married,personal auto,personal l2,offer4,branch,suv,medsize
2600,north west,no,extended,high school or below,1/8/11,jan,unemployed,m,suburban,married,personal auto,personal l2,offer1,agent,two-door car,medsize
2601,central,no,extended,college,2/10/11,feb,unemployed,m,suburban,single,corporate auto,corporate l3,offer4,call center,two-door car,medsize
2602,central,no,extended,college,2/25/11,feb,employed,m,urban,single,personal auto,personal l3,offer4,call center,two-door car,medsize
2603,north west,yes,basic,college,1/31/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
2604,central,yes,extended,high school or below,1/12/11,jan,employed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
2605,north west,no,premium,high school or below,1/9/11,jan,employed,m,suburban,married,personal auto,personal l2,offer4,agent,luxury suv,medsize
2606,west region,no,extended,bachelor,2/11/11,feb,employed,f,urban,married,corporate auto,corporate l3,offer1,agent,four-door car,small
2607,central,no,basic,bachelor,1/5/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,agent,four-door car,medsize
2608,central,no,basic,college,2/25/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,small
2609,east,no,basic,bachelor,1/24/11,jan,employed,m,suburban,married,personal auto,personal l1,offer1,call center,four-door car,medsize
2610,central,no,basic,college,1/10/11,jan,disabled,f,suburban,single,personal auto,personal l3,offer1,call center,four-door car,medsize
2611,central,no,basic,college,2/12/11,feb,employed,m,urban,married,corporate auto,corporate l1,offer2,branch,four-door car,small
2612,west region,no,premium,bachelor,2/23/11,feb,employed,m,urban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2613,central,no,extended,bachelor,2/15/11,feb,employed,m,urban,married,personal auto,personal l1,offer4,agent,four-door car,large
2614,west region,yes,basic,college,1/26/11,jan,unemployed,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,medsize
2615,east,no,basic,bachelor,2/22/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer1,branch,four-door car,medsize
2616,west region,no,extended,bachelor,1/8/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,branch,luxury car,medsize
2617,west region,no,basic,high school or below,2/8/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer4,web,four-door car,medsize
2618,west region,yes,extended,high school or below,2/7/11,feb,employed,f,suburban,divorced,personal auto,personal l2,offer2,agent,four-door car,medsize
2619,central,no,basic,high school or below,2/23/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer3,call center,two-door car,medsize
2620,east,no,basic,bachelor,1/31/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer1,agent,four-door car,medsize
2621,north west,no,basic,high school or below,1/22/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,branch,two-door car,medsize
2622,north west,no,basic,college,1/3/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer3,branch,four-door car,large
2623,central,no,basic,bachelor,2/18/11,feb,employed,f,urban,married,personal auto,personal l2,offer2,web,four-door car,medsize
2624,east,no,premium,high school or below,1/29/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer3,branch,two-door car,medsize
2625,west region,no,basic,bachelor,2/25/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2626,north west,no,basic,master,2/25/11,feb,employed,m,rural,single,corporate auto,corporate l3,offer1,call center,suv,medsize
2627,north west,no,basic,bachelor,1/19/11,jan,employed,f,suburban,married,personal auto,personal l1,offer1,agent,four-door car,small
2628,east,no,basic,college,2/28/11,feb,employed,m,urban,married,personal auto,personal l1,offer4,branch,four-door car,large
2629,central,no,basic,bachelor,2/3/11,feb,employed,f,rural,married,corporate auto,corporate l2,offer1,branch,suv,medsize
2630,west region,no,basic,bachelor,2/14/11,feb,medical leave,m,suburban,divorced,personal auto,personal l3,offer2,call center,two-door car,medsize
2631,north west,no,extended,high school or below,1/21/11,jan,unemployed,m,suburban,married,corporate auto,corporate l2,offer1,agent,two-door car,small
2632,west region,no,basic,high school or below,1/17/11,jan,employed,m,rural,single,corporate auto,corporate l3,offer1,agent,four-door car,medsize
2633,central,no,premium,bachelor,1/17/11,jan,employed,f,suburban,single,personal auto,personal l2,offer2,web,four-door car,medsize
2634,east,no,basic,high school or below,2/12/11,feb,unemployed,f,suburban,married,corporate auto,corporate l3,offer1,call center,four-door car,medsize
2635,west region,no,basic,bachelor,1/20/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,branch,two-door car,medsize
2636,west region,no,extended,college,1/29/11,jan,employed,m,suburban,married,personal auto,personal l1,offer1,agent,suv,medsize
2637,north west,no,basic,college,1/18/11,jan,employed,m,suburban,married,personal auto,personal l1,offer3,web,two-door car,small
2638,north west,no,basic,bachelor,2/24/11,feb,medical leave,m,suburban,married,personal auto,personal l3,offer1,agent,suv,medsize
2639,west region,no,extended,high school or below,1/16/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,call center,luxury suv,medsize
2640,central,no,basic,bachelor,2/8/11,feb,unemployed,m,suburban,married,personal auto,personal l2,offer4,call center,four-door car,medsize
2641,central,yes,basic,bachelor,1/11/11,jan,employed,f,suburban,divorced,personal auto,personal l2,offer1,web,suv,medsize
2642,west region,no,premium,bachelor,1/14/11,jan,employed,m,rural,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2643,central,yes,extended,college,1/25/11,jan,retired,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2644,north west,no,basic,college,1/26/11,jan,employed,f,suburban,married,personal auto,personal l1,offer2,call center,four-door car,small
2645,north west,no,extended,doctor,2/2/11,feb,employed,m,rural,married,personal auto,personal l2,offer4,web,four-door car,medsize
2646,north west,no,extended,bachelor,1/17/11,jan,medical leave,m,suburban,married,corporate auto,corporate l3,offer1,branch,two-door car,small
2647,north west,no,extended,bachelor,1/8/11,jan,employed,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2648,east,yes,extended,doctor,1/13/11,jan,unemployed,f,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2649,east,no,extended,high school or below,1/26/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,call center,four-door car,medsize
2650,central,no,extended,college,2/5/11,feb,employed,f,suburban,divorced,corporate auto,corporate l3,offer3,call center,four-door car,small
2651,central,no,basic,bachelor,1/25/11,jan,employed,m,suburban,married,corporate auto,corporate l2,offer1,call center,four-door car,medsize
2652,central,no,basic,bachelor,1/12/11,jan,employed,f,urban,married,personal auto,personal l1,offer1,branch,suv,medsize
2653,west region,yes,basic,high school or below,2/17/11,feb,employed,m,rural,married,personal auto,personal l2,offer2,agent,sports car,medsize
2654,north west,no,basic,bachelor,2/15/11,feb,medical leave,m,suburban,married,personal auto,personal l3,offer1,web,suv,medsize
2655,west region,no,basic,high school or below,2/20/11,feb,employed,f,suburban,divorced,corporate auto,corporate l1,offer2,call center,suv,medsize
2656,central,no,basic,bachelor,2/12/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2657,central,no,basic,bachelor,1/24/11,jan,employed,f,urban,single,corporate auto,corporate l1,offer3,agent,luxury car,small
2658,north west,no,basic,bachelor,2/21/11,feb,unemployed,f,suburban,married,corporate auto,corporate l1,offer4,call center,two-door car,medsize
